;name;SMILES;category;genotoxicity;carcinogenicity;mutagenicity
1248;(2S)-2beta-(3'-Deoxythymidine-3'-yl)-3-[2'-O,3'-O-isopropylidene-5-methyl-4'-des(hydroxymethyl)uridine-4'-yl]thiazolidine-4-one;Cc1cn([C@H]2C[C@H]([C@@H]3SCC(=O)N3[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)[C@@H]4OC(C)(C)O[C@H]34)[C@@H](CO)O2)c(=O)[nH]c1=O;thiazolidines;1;1;1
1249;(2S)-2beta-(2'-O,3'-O-Isopropylidene-5-methyl-5'-deoxyuridine-5'-yl)-3-[2'-O,3'-O-isopropylidene-4'-des(hydroxymethyl)uridine-4'-yl]thiazolidine-4-one;Cc1cn([C@@H]2O[C@H](C[C@@H]3SCC(=O)N3[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@@H]4OC(C)(C)O[C@H]34)[C@H]3OC(C)(C)O[C@H]32)c(=O)[nH]c1=O;thiazolidines;1;1;1
1250;(2S)-2beta-(2'-O,3'-O-Isopropylidene-5-methyl-5'-deoxyuridine-5'-yl)-3-[2'-O,3'-O-isopropylidene-5-methyl-4'-des(hydroxymethyl)uridine-4'-yl]thiazolidine-4-one;Cc1cn([C@@H]2O[C@H](N3C(=O)CS[C@H]3C[C@H]3O[C@@H](n4cc(C)c(=O)[nH]c4=O)[C@@H]4OC(C)(C)O[C@H]34)[C@H]3OC(C)(C)O[C@H]32)c(=O)[nH]c1=O;thiazolidines;0;1;1
1251;Ergosterol benzoate;CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](OC(=O)c5ccccc5)CC[C@]4(C)[C@H]3CC[C@@]21C;triterpenoids;1;0;0
1252;ent-Brevianamide B;CC1(C)[C@@H]2C[C@]34CCCN3C(=O)[C@@]2(C[C@]12Nc1ccccc1C2=O)NC4=O;brevianamides;0;1;0
1253;12'-Hydroxyroridin E;CC1=C[C@H]2O[C@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)O)OCC/C(CO)=C\C(=O)OCC2(CC1)[C@]4(C)[C@@]31CO1;trichothecenes;1;0;1
1254;TCO-Taxol;CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](OC(=O)CCNC(=O)OC3CC/C=C\CCC3)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;taxols;1;0;0
1255;Penicillenol C1;C/C=C/CCCC(C)/C(O)=C1\C(=O)[C@H]([C@H](C)O)N(C)C1=O;penicillenols;1;1;0
1256;Penicillenol A1;CCCCCCC(C)/C(O)=C1\C(=O)[C@H]([C@H](C)O)N(C)C1=O;penicillenols;1;1;0
1257;Communesin E;CC(=O)N1CC[C@]23c4ccccc4N[C@H]4N(C)c5cccc6c5[C@]42CCN([C@H]6C=C(C)C)[C@H]13;communesins;1;1;1
1258;Brevianamide Y;CC1(C)[C@H]2C[C@]34CCCN3C(=O)[C@@]2(C[C@]12C(=O)Nc1ccccc12)NC4=O;brevianamides;1;1;0
1259;Ergocristam;CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N1C(=O)[C@H]2CCCN2C(=O)[C@@H]1Cc1ccccc1;ergot alkaloids;1;1;0
1260;Destruxin A1;C=CC[C@H]1OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)CC)NC(=O)[C@@H]2CCCCN2C1=O;destruxins;0;0;0
1261;beta-Zearalenol-4-O-glucoside;C[C@H]1CCC[C@@H](O)CCC/C=C/c2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c2C(=O)O1;zearalenones;1;0;0
1262;alpha-Zearalenol-14-Glucoside;C[C@H]1CCC[C@H](O)CCC/C=C/c2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c2C(=O)O1;zearalenones;1;0;0
1263;Elymoclavine O-(D-Fructofuranosyl-D-fructofuranoside);CN1CC(CO[C@]2(CO[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)=C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21;ergot alkaloids;1;0;1
1264;Isoaurasperone A;COc1cc(O)c2c(OC)c3c(=O)cc(C)oc3c(-c3c(OC)cc4cc5oc(C)cc(=O)c5c(OC)c4c3O)c2c1;naphthalenes;1;1;1
1265;8-epi-ophiobolin J;CC(C)=C[C@H]1C[C@H](C)[C@]2(CC[C@]3(C)C[C@@H]4C(C)=CC(=O)/C4=C(\CO)[C@H](O)C[C@@H]23)O1;ophiobolins;1;1;1
1266;Deoxyradicinol;C/C=C/c1cc2c(c(=O)o1)[C@H](O)C[C@H](C)O2;radicinins;1;1;0
1267;Parvulenone;CC(O)c1ccc2c(c1O)C(=O)CCC2O;naphthalenes;1;0;1
1268;Radianthin;C/C=C/c1cc2c(c(=O)o1)C(=O)C(CC)O2;furans;1;1;1
1269;Stipitatic acid ethyl ester;CCOC(=O)c1cc(O)c(O)cc(=O)c1;phenols;1;0;1
1270;Roridin Q;CC1=C[C@H]2O[C@H]3C[C@H]4OC(=O)/C=C\C=C\[C@H]([C@@H](C)OCC/C(C)=C/C(=O)O)OCC/C(CO)=C/C(=O)OCC2(CC1)[C@]4(C)[C@@]31CO1;trichothecenes;1;0;0
1271;mytoxin B;CC(=O)[C@@]12CC/C=C\C(=O)O[C@@H]3C[C@H]4O[C@@H]5C=C(C)CC[C@]5(COC(=O)/C=C(/CCO1)[C@H]2O)[C@]3(C)[C@]41CO1;trichothecenes;1;1;1
1272;(S)-2-Hydroxy-2-(2-naphthyl)-3-nitropropionic acid ethyl ester;CCOC(=O)[C@@](O)(C[N+](=O)[O-])c1ccc2ccccc2c1;nitropropionic acids;1;1;1
1273;(S)-2-Hydroxy-2-(3-chlorophenyl)-3-nitropropionic acid ethyl ester;CCOC(=O)[C@@](O)(C[N+](=O)[O-])c1cccc(Cl)c1;nitropropionic acids;1;1;1
1274;(R)-2-Hydroxy-2-(3-chlorophenyl)-3-nitropropionic acid ethyl ester;CCOC(=O)[C@](O)(C[N+](=O)[O-])c1cccc(Cl)c1;nitropropionic acids;1;1;1
1275;(S)-2-Hydroxy-2-(4-cyanophenyl)-3-nitropropionic acid ethyl ester;CCOC(=O)[C@@](O)(C[N+](=O)[O-])c1ccc(C#N)cc1;nitropropionic acids;1;1;1
1276;(S)-2-Hydroxy-2-[4-(methylthio)phenyl]-3-nitropropionic acid ethyl ester;CCOC(=O)[C@@](O)(C[N+](=O)[O-])c1ccc(SC)cc1;nitropropionic acids;1;1;1
1277;(R)-2-Hydroxy-2-[4-(methylthio)phenyl]-3-nitropropionic acid ethyl ester;CCOC(=O)[C@](O)(C[N+](=O)[O-])c1ccc(SC)cc1;nitropropionic acids;0;1;1
1278;(S)-2-Hydroxy-2-(4-methoxyphenyl)-3-nitropropionic acid ethyl ester;CCOC(=O)[C@@](O)(C[N+](=O)[O-])c1ccc(OC)cc1;nitropropionic acids;1;1;1
1279;4Z-Infectopyrone;COc1cc(/C(C)=C\C(C)=C\C(=O)O)oc(=O)c1C;pyrones;1;1;0
1280;Novaezelandin B;COc1cc(=O)oc(C)c1C/C=C/C(=O)O;pyrones;1;0;0
1281;Novaezelandin A;C/C=C/Cc1c(OC)cc(=O)oc1C;pyrones;1;1;0
1282;Decarestrictine C1;C[C@@H]1CC[C@H](O)/C=C\[C@@H](O)CC(=O)O1;decarestrictines;1;0;1
1283;Aspochalasin Z;CC1=C[C@@H]2/C=C(/C)CCCC/C=C\C(=O)[C@]23C(=O)N[C@@H](CC(C)C)[C@@H]3[C@@H]1C;cytochalasan alkaloids;1;0;0
1284;3,4,15-Triacetylnivalenol;CC(=O)OC[C@]12[C@H](O)C(=O)C(C)=C[C@H]1O[C@@H]1[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2;trichothecenes;1;1;0
1285;Cytochalasin E-2;C[C@H]1C/C=C\[C@H]2[C@H](O)[C@H](C)[C@@H](C)[C@H]3[C@H](Cc4ccccc4)NC(=O)[C@]32OC(=O)O/C=C\[C@@](C)(O)C1=O;cytochalasan alkaloids;0;1;0
1286;Cytochalasin E-1;CC1=C(C)[C@H](O)[C@@H]2/C=C\C[C@H](C)C(=O)[C@](C)(O)/C=C\OC(=O)O[C@]23C(=O)N[C@@H](Cc2ccccc2)[C@H]13;cytochalasan alkaloids;1;1;0
1287;Ergoxanthin;COC(=O)C1(C2OC(=O)CC2C)CC(=O)c2c(ccc(-c3ccc4c(c3O)C(=O)C3(O)C5CC(C)C(O)C3(O4)C(=O)O5)c2O)O1;ergot alkaloids;1;1;1
1288;Wasabidienone E acetate;CC[C@@H](C)C(=O)O[C@@]1(C)C(=O)C(C)=C(OC)C=C1NCCOC(C)=O;benzene derivatives;1;0;0
1289;Wasabidienone E;CC[C@@H](C)C(=O)O[C@@]1(C)C(=O)C(C)=C(OC)C=C1NCCO;benzene derivatives;1;0;0
1290;Culmorin;CC1(C)CCC[C@@]2(C)[C@H]3[C@@H]1[C@H](O)[C@]2(C)C[C@H]3O;culmorins;1;1;1
1291;2-[(1E,3E)-hexa-1,3-dienyl]-4-(3-hydroxybutanoyl)-5-methoxy-2-methylfuran-3-one;CC/C=C/C=C/C1(C)OC(OC)=C(C(=O)CC(C)O)C1=O;furans;1;1;1
1292;satratoxin F;CC(=O)C12/C=C\C=C/C(=O)OC3CC4OC5C=C(C)CCC5(COC(=O)C5OC5(CCO1)C2O)C3(C)C41CO1;trichothecenes;1;1;1
1293;sporidesmin G;COc1c(Cl)cc2c(c1OC)N(C)[C@@H]1N3C(=O)[C@@]4(C)SSSS[C@@]3(C(=O)N4C)[C@H](O)[C@]21O;ETPs;1;1;0
1294;Destruxin D;CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C(=O)O)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O;destruxins;0;0;0
1295;Destruxin C;CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)CO)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O;destruxins;0;1;0
1296;3-L-Valinedestruxin B;CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@H](C)N(C)C(=O)[C@H](C(C)C)NC1=O;destruxins;0;0;0
1297;16-Hydroxyverrucarin A;C[C@@H]1CCOC(=O)/C=C/C=C/C(=O)O[C@H]2CC3OC4C=C(CO)CCC4(COC(=O)[C@H]1O)C2(C)[C@@]31CO1;trichothecenes;1;0;0
1298;Macrophorin B;C=C1CC[C@H]2C(C)(C)C(=O)CC[C@]2(C)[C@H]1C[C@@]12O[C@@H]1[C@H](O)C(CO)=CC2=O;terpenoids;1;1;1
1299;Macrophorin C;C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1C[C@@]12O[C@@H]1[C@H](O)C(CO)=CC2=O;terpenoids;1;1;1
1300;Fonsecinone B;COc1cc(OC)c2c(O)c3c(c(-c4c(OC)cc5cc6oc(C)cc(=O)c6c(O)c5c4OC)c2c1)OC(C)(O)CC3=O;naphthalenes;1;1;1
1301;Alternaric acid;C=C(C/C=C/[C@@](O)(C(=O)O)[C@H](O)[C@@H](C)CC)CCC(=O)C1C(=O)C[C@@H](C)OC1=O;not classified;1;0;1
1302;Astepyrone ;COC1=CC(=O)OC2OC(O)C(C)C12;coumarins;1;1;0
1303;Astellolide B;CC(=O)OC[C@@]1(C)CCC[C@]2(COC(C)=O)C3=C(C[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]12)C(=O)OC3;astellolides;0;0;1
1304;aspochalasin C;CC1=C[C@@H]2/C=C(/C)CC[C@H](O)[C@H](O)/C=C\C(=O)[C@]23C(=O)N[C@@H](CC(C)C)[C@@H]3[C@@H]1C;cytochalasan alkaloids;1;0;0
1305;O-Methylasparvenone;CCc1c(OC)cc2c(c1O)C(=O)CC[C@H]2O;naphthalenes;1;1;0
1306;Enniatin A;CC[C@H](C)[C@H]1C(=O)OC(C(C)C)C(=O)N(C)[C@@H]([C@H](C)CC)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)O[C@H](C(C)C)C(=O)N1C;enniatins;0;1;1
1307;Epi-aflatoxin q1;COc1cc2c(c3oc(=O)c4c(c13)[C@H](O)CC4=O)[C@H]1C=CO[C@H]1O2;aflatoxins;1;1;1
1308;alpha-D-Glucopyranoside, (4R,5R,6R,6aS,9R,10aR)-1,2,4,5,6,6a,7,8,9,10a-decahydro-5,9-dihydroxy-9-(methoxymethyl)-6,10a-dimethyl-3-(1-methylethyl)dicyclopenta(a,d)cycloocten-4-yl 3,4-O-((1R,2S)-2-hydroxy-1-(hydroxymethyl)-1-methyl-1,3-propanediyl)-6-O-methyl-;COC[C@H]1O[C@H](O[C@@H]2C3=C(C(C)C)CC[C@]3(C)/C=C3\[C@@H](CC[C@]3(O)COC)[C@@H](C)[C@H]2O)[C@H](O)[C@H]2OC[C@H](O)[C@@](C)(CO)O[C@H]12;cotylenins;1;0;1
1309;Roquefortine A;CC(=O)O[C@@H]1[C@@H](C)CN(C)[C@@H]2Cc3c[nH]c4cccc(c34)[C@@H]12;ergot alkaloids;1;1;1
1310;Chaetoglobosin A;C/C1=C/[C@@H](C)C/C=C\[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@]23C(=O)/C=C\C(=O)[C@@H]1O;cytochalasan alkaloids;1;1;1
1311;Islanditoxin;CC[C@@H]1NC(=O)CC(c2ccccc2)NC(=O)[C@@H]2[C@@H](Cl)[C@@H](Cl)CN2C(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O;cyclic peptides;1;0;0
1312;Astellolide A;CC(=O)OC[C@@]1(C)CCC[C@]2(COC(C)=O)C3=C(C[C@@H](OC(=O)c4ccccc4)[C@@H]12)C(=O)OC3;astellolides;0;1;1
1313;Porritoxin sulfonic acid;COc1c(C)c(OCC=C(C)C)cc2c1CN(CCS(=O)(=O)O)C2=O;nucleotides;1;1;0
1314;beta,gamma-Dehydrocurvularin;C[C@H]1CC/C=C\CC(=O)c2c(O)cc(O)cc2CC(=O)O1;zearalenones;1;1;1
1315;Monacolin N;C[C@@H]1CC[C@H]2[C@@H](C=C[C@H](C)[C@@H]2/C=C/[C@@H]2C[C@@H](O)CC(=O)O2)C1;lovastatins;0;0;1
1316;Aminopentol-1;CCCCC(C)C(O)C(O)CC(C)CC(O)CCCC[C@@H](O)C[C@H](O)[C@H](C)N;fumonisins;1;0;0
1317;2-(2-Furanyl)-3-nitropropionic acid ethyl ester;CCOC(=O)C(C[N+](=O)[O-])c1ccco1;nitropropionic acids;1;1;1
1318;(R)-2-Methyl-3-nitropropionic acid methyl ester;COC(=O)[C@H](C)C[N+](=O)[O-];nitropropionic acids;1;1;1
1319;Expansolide B;CC(=O)O[C@H]1C[C@H]2C[C@@H](C1=C(C)C)[C@@]21CO[C@@]2(C[C@H](C)C(=O)O2)C1;alkaloids;0;1;0
1320;7-(beta-Xylosyl)taxol C;CCCC(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@](C)(C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C[C@H]1OC[C@]13OC(C)=O;taxols;1;0;0
1321;Phenylpyropene B;CC(=O)OCC1(C)[C@@H](OC(C)=O)CCC2(C)[C@H]3Cc4c(cc(-c5ccccc5)oc4=O)OC3(C)CC[C@@H]12;pyropenes;0;1;0
1322;Cyclo(Pro-Leu-D-Ala-Pro-Leu-D-Ala-);CC(C)C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC1=O;peptides;0;0;0
1323;2-[(1R,2R,5S)-Pinane-10-yl]-3-nitropropionic acid methyl ester;COC(=O)C(C[C@H]1CC[C@H]2C[C@H]1C2(C)C)C[N+](=O)[O-];nitropropionic acids;0;1;1
1324;Ophiobolin M;CC(C)=CCC[C@H](C)C1=CC[C@]2(C)C[C@H]3[C@H](C(=O)C[C@@]3(C)O)/C(C=O)=C\C[C@@H]12;ophiobolins;1;0;1
1325;Aspochalasin H;CC1=C[C@@H]2/C=C(/C)CC[C@@H](O)[C@@H](O)[C@@H]3O[C@H]3C(=O)[C@]23C(=O)N[C@@H](CC(C)C)[C@@H]3[C@@H]1C;cytochalasan alkaloids;1;0;0
1326;Trichoverrin A;CC1=C[C@H]2O[C@@H]3C[C@@H](OC(=O)/C=C\C=C\[C@H](O)[C@H](C)O)[C@@](C)([C@]34CO4)[C@@]2(COC(=O)/C=C(\C)CCO)CC1;trichothecenes;1;0;0
1327;Zearalenone-beta-D-glucopyranoside;C[C@H]1CCCC(=O)CCC/C=C\c2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c2C(=O)O1;zearalenones;1;0;0
1328;Resveratrol cis-dehydrodimer;Oc1ccc(C2Oc3ccc(/C=C\c4cc(O)cc(O)c4)cc3C2c2cc(O)cc(O)c2)cc1;resveratrols;1;1;1
1329;6'-Acetyl-beta-zearalenol;CC(=O)O[C@H]1CCC/C=C\c2cc(O)cc(O)c2C(=O)O[C@@H](C)CCC1;zearalenones;1;0;0
1330;Resveratrol-4'-O-(6''-galloyl)glucoside;O=C(OCC1O[C@@H](Oc2ccc(/C=C/c3cc(O)cc(O)c3)cc2)C(O)C(O)[C@@H]1O)c1cc(O)c(O)c(O)c1;resveratrols;1;0;1
1331;3'-N-[3-[(Ergosterol-3beta-yl)oxycarbonylamino]propyl]amphotericin B;CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@](O)(OC(=O)NCCCN[C@H]5[C@H](O)[C@@H](C)O[C@@H](O[C@H]6/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]7(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C6)O7)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C;triterpenoids;1;0;0
1332;Isosulochrin dehydrate;COC(=O)c1cc(OC)cc2oc3cc(C)cc(O)c3c(=O)c12;benzene derivatives;0;1;1
1333;Satratoxin H 13'-acetate;CC(=O)OC(C)C12/C=C\C=C/C(=O)OC3CC4OC5C=C(C)CCC5(COC(=O)/C=C(/CCO1)C2O)C3(C)C41CO1;trichothecenes;1;1;0
1334;Satratoxin H 12'-acetate;CC(=O)OC1/C2=C\C(=O)OCC34CCC(C)=CC3OC3CC(OC(=O)/C=C\C=C/C1(C(C)O)OCC2)C4(C)C31CO1;trichothecenes;1;1;1
1335;2-Hydroxy-3-nitropropionic acid pentyl ester;CCCCCOC(=O)C(O)C[N+](=O)[O-];nitropropionic acids;1;1;1
1336;2-Hydroxy-3-nitropropionic acid isopropyl ester;CC(C)OC(=O)C(O)C[N+](=O)[O-];nitropropionic acids;1;1;1
1337;Koninginin F;CCCCCC[C@H](O)[C@@H]1C[C@@H](O)C2=C(CC[C@@H](O)C2=O)O1;koninginins;1;0;1
1338;Cyclo(Pro-Phe-Phe-Ala-Ala-Pro-Phe-Phe-Ala-Ala-);CC1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)C2CCCN2C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)C(C)NC1=O;peptides;1;0;0
1339;Cyclo(Pro-Phe-Phe-Ala-5-oxo-5-tert-butoxy-Nva-Pro-Phe-Phe-Ala-5-oxo-5-tert-butoxy-Nva-);CC1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)C(CCC(=O)OC(C)(C)C)NC1=O;peptides;1;0;1
1340;Cyclo(Pro-Phe-Phe-Ala-Leu-Pro-Phe-Phe-Ala-Leu-);CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C1=O;peptides;1;0;0
1341;16,18-Bis-epi-Cytochalasin D;C=C1[C@@H](O)[C@@H]2/C=C\C[C@@H](C)C(=O)[C@@](C)(O)/C=C\[C@@H](OC(C)=O)[C@]23C(=O)N[C@@H](Cc2ccccc2)[C@@H]3[C@@H]1C;cytochalasan alkaloids;1;0;1
1342;Yanuthone C;CC(=O)O[C@@H]1C(CO)=CC(=O)[C@]2(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H]12;yanuthones;1;0;0
1343;Yanuthone B;CC(=O)OCC1=CC(=O)[C@]2(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2C1=O;yanuthones;1;0;1
1344;Yanuthone A;CC(=O)OCC1=CC(=O)[C@]2(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2[C@@H]1O;yanuthones;1;0;0
1345;cis-Fumagilin methyl ester;COC(=O)/C=C/C=C/C=C/C=C\C(=O)O[C@@H]1CC[C@@]2(CO2)[C@@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@@H]1OC;fumagillins;1;1;1
1346;ACT-Toxin I;C/C=C(\C)C(O)C(C)(O)C(O)C(O)C(=O)NC(C(=O)O[C@H](/C=C/C=C\C=C\C(=O)O)[C@]1(C)CO1)C(C)C;alternariolides;1;0;0
1347;ACT-Toxin II;C/C=C(\C)CC(C)(O)C(O)C(O)C(=O)NC(C(=O)O[C@H](/C=C/C=C\C=C\C(=O)O)[C@]1(C)CO1)C(C)C;alternariolides;1;0;0
1348;AF-Toxin I;CC[C@H](C)[C@@H](OC(=O)C(O)C(C)(C)O)C(=O)O[C@H](/C=C\C=C\C=C\C(=O)O)[C@]1(C)CO1;AF toxins;1;0;1
1349;AF-Toxin III;CC[C@H](C)[C@@H](OC(=O)C(O)C(C)C)C(=O)O[C@H](/C=C\C=C\C=C\C(=O)O)[C@]1(C)CO1;AF toxins;1;0;0
1350;Tryptoquivaline B (Nortryptoquivalone);CC(C)C(=O)c1nc2ccccc2c(=O)n1[C@@H]1C[C@]2(OC1=O)c1ccccc1N1C(=O)[C@H](C)N(O)[C@H]12;fumitremorgins;1;1;1
1351;6,8-O-Dimethylaverufin;COc1cc(OC)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)[C@@H]1CCC[C@](C)(O3)O1;averufins;1;1;1
1352;versiol;C[C@@H]1C=C2C=C[C@]3(C)OCCC(=O)[C@]3(C)[C@H]2[C@@H](O)C1;naphthalenes;1;1;1
1353;15-Deoxynivalenol;CC1=C[C@H]2O[C@@H]3[C@H](O)[C@@H](O)[C@@](C)([C@]34CO4)[C@@]2(C)[C@H](O)C1=O;trichothecenes;1;0;1
1354;Fumiquinazoline H;CC(C)C[C@@H]1NC2N(C1=O)c1ccccc1[C@]21C[C@@H]2C(=O)N[C@](C)(O1)c1nc3ccccc3c(=O)n12;quinazolines;1;1;1
1355;Actinomycin Z4;Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5C(C)CC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)OC4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3C(C)C(=O)C[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C)C(=O)OC2C)c(N)c1=O;actinomycins;1;1;0
1356;Actinomycin Z2;Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5C(C)CC(O)[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)OC4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3C(C)C(=O)C[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C)C(=O)OC2C)c(N)c1=O;actinomycins;1;1;0
1357;Ochratoxin quinone;C[C@@H]1CC2=C(C(=O)O1)C(=O)C(C(=O)N[C@@H](Cc1ccccc1)C(=O)O)=CC2=O;ochratoxins;1;0;1
1358;Resveratrol-12-C-beta-glucopyranoside;OC[C@H]1O[C@@H](c2c(O)cc(/C=C/c3ccc(O)cc3)cc2O)[C@H](O)[C@@H](O)[C@@H]1O;resveratrols;1;0;1
1359;cyclo(-Pro-Ala-Pro-Ala-Ala-);C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC1=O;peptides;1;1;0
1360;9,10-Epoxy-3-methoxy-3- epiradicinol;CO[C@@H]1c2c(cc(C3OC3C)oc2=O)O[C@@H](C)[C@@H]1O;radicinins;1;1;1
1361;3-epi-Radicinol;C/C=C/c1cc2c(c(=O)o1)[C@@H](O)[C@@H](O)[C@H](C)O2;radicinins;1;1;0
1362;2-(tert-Butoxycarbonylamino)-3-nitropropionic acid tert-butyl ester;CC(C)(C)OC(=O)NC(C[N+](=O)[O-])C(=O)OC(C)(C)C;nitropropionic acids;1;0;1
1363;Verticillin D triacetate;CC(=O)OC(C)[C@@]12SS[C@]3(C(=O)N1C)[C@@H](O)[C@]1([C@@]45c6ccccc6N[C@@H]4N4C(=O)[C@]6(C(C)OC(C)=O)SS[C@]4(C(=O)N6C)[C@H]5OC(C)=O)c4ccccc4N[C@@H]1N3C2=O;verticillins;1;1;0
1364;Geodin A;C=C1C=C[C@H]2[C@@H]1C[C@H]1/C=C/CCC(=O)C3=C(O)C(NC3=O)C(O)CCNC(=O)/C=C/C=C/C[C@H]21;griseofulvins;1;1;0
1365;Epiisororidin E;CC1=C[C@H]2O[C@H]3C[C@H]4OC(=O)/C=C\C=C\[C@@H]([C@@H](C)O)OCC/C(C)=C/C(=O)OCC2(CC1)[C@]4(C)[C@@]31CO1;trichothecenes;1;1;1
1366;Tricycloalternarene 7a;COC1CCC(=O)C2=C1OC1(C)CC=C(C(C)CCC(O)C(C)(C)O)C1C2;alternarenes;1;1;1
1367;Tricycloalternarene 6b;CC(CCC(O)C(C)(C)O)C1=CCC2(C)OC3=C(CC12)C(=O)C(O)CC3;alternarenes;1;0;1
1368;Tricycloalternarene 6a;CC(CCC(O)C(C)(C)O)C1=CCC2(C)OC3=C(CC12)C(=O)CCC3O;alternarenes;1;0;1
