SMILES,Mutagenicity
O=C1OC(O)C(Cl)=C1Cl,negative
Fc1ccc2ncccc2c1,positive
C=Cc1ccc([N+](=O)[O-])cc1,undetermined
COC(=O)c1occ(-c2ccccc2)c1-c1ccccc1,positive
CN=[N+](C)[O-],undetermined
CCC(=O)OCc1ccc([N+](=O)[O-])cc1,negative
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,undetermined
CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1,positive
c1scc2c1-c1cscc1C1OC21,negative
CC(C)OC(=O)c1cc(Cc2ccc(N)c(C(=O)OC(C)C)c2)ccc1N,positive
OC1C=Cc2c(ccc3cccnc23)C1O,negative
c1ccc2cc3c(ccc4ccncc43)cc2c1,positive
O=C1c2c(O)cccc2Cc2cccc(O)c21,negative
Nc1cccc2cccc(N)c12,negative
CC(=O)c1cccn1[N+](=O)[O-],
SCc1ccccc1,negative
Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1,positive
O=S1(=O)OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br,negative
CC(=O)Nc1ccc(C)cc1,negative
Nc1ncnc2c1ncn2C(c1ccccc1)c1ccccc1,positive
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br,
N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1,positive
Nc1nc(O)c2ncn(C3C=CC(CO)C3)c2n1,
COC(=O)c1c2c(c3ccccc3c1O)OC(C)(C)C=C2,positive
C=CC(=O)OC(C)(C)C,positive
Nc1c(S(=O)(=O)O)cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,positive
CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,negative
O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr,
CCc1nc2ccc(NC)c(C)c2nc1CC,positive
CC(C)(Br)C(=O)NCc1ccccc1,negative
CO[PH](=O)OC,positive
NC(=O)NO,negative
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,
Cn1cnc(-c2ccccc2)c1[N+](=O)[O-],negative
CNc1ccc2ccc3ccc(O)cc3c2c1,positive
O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,positive
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,negative
O=C(Nc1cccc(Cl)c1)c1csc([N+](=O)[O-])c1,positive
O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2O,positive
Oc1cc(Cl)cc(Cl)c1,positive
ClCc1c2ccccc2cc2ccccc12,
C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12,positive
CCCCBr,negative
Cc1cc(C)c(C)cc1C,positive
Nc1cc(N)c(-c2ccccc2)c([N+](=O)[O-])c1,negative
CCc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1,negative
COc1ccc([Se]c2ccc(OC)cc2)cc1,positive
c1cc2c3c(cccc3c1)[C@H]1N[C@@H]21,positive
O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],positive
CCOC(=O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,negative
Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,
c1ccsc1,negative
CC(F)(F)F,
CCCCOB(OCCCC)OCCCC,positive
O=C1CCCCCCCCCCCC(=O)OCCO1,
CCCN(N=O)C(=N)N[N+](=O)[O-],negative
O=CO,positive
CC(C)(c1ccc(OCC(O)CO)cc1)c1ccc(OCC2CO2)cc1,positive
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,positive
CBr,negative
CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,positive
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCCl,positive
CCCC=O,positive
CCCCCC(=O)/N=c1\sn(C(=O)CCCCC)c2ccc([N+](=O)[O-])cc12,positive
Cc1ccc2cc([N+](=O)[O-])ccc2c1,positive
O=[N+]([O-])c1cc[n+]([O-])cc1,undetermined
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,
c1ccc2c(c1)ccc1cc3cnccc3cc12,positive
ClNc1ccc2c(c1)Cc1ccccc1-2,negative
O=[N+]([O-])c1cnc2c(c1)nc1ccccn12,negative
Cc1ccc(C)c2c1[nH]c1ccccc12,positive
Cc1cc2ncccc2c2ncn(C)c12,negative
C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23,negative
CC(C)CNc1snc2ccccc12,positive
O=C1c2ccccc2-c2cc([N+](=O)[O-])ccc21,positive
Nc1ccc2c(c1)Cc1ccccc1-2,negative
CN(C)c1ccc(N=Nc2ccc3[nH]ncc3c2)cc1,negative
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,
COC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1,negative
Cc1cc(C)c2c(ccc3ccccc32)c1,negative
Nc1cc([N+](=O)[O-])ccc1C(=O)O,positive
CC(O)C(C)O,negative
CCC1(CC(=O)O)OCCc2c1[nH]c1c(C)cccc21,negative
Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1,undetermined
C[N+]1([O-])CC=C(c2ccccc2)CC1,negative
CC(=O)Nc1ccc(NC(C)=O)c2c1C(=O)c1ccccc1C2=O,negative
COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@H]1[C@H]6[C@@H]5C[C@@H]43,negative
CNc1c(C)cc2ncccc2c1N,positive
COc1nncc2ccccc12,negative
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,positive
O=C(O)c1cc(Cl)ccc1O,positive
C[C@H]1CN(N=O)C(=O)NC1=O,negative
ClCc1cc2c3ccccc3cc3ccc4cccc1c4c32,negative
Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2,negative
COc1ccc([N+](=O)[O-])cc1,positive
C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4,negative
O=C1CCCc2c1ccc1c2ccc2ccccc21,negative
Nc1cccc(N)c1,negative
O=NN1CCN(N=O)CC1,positive
C[N+](C)(C)Cc1ccccc1,negative
O=C=Nc1cccc2c(N=C=O)cccc12,negative
CCCCCCCCCCCCS,
COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,
C1CSCCS1,undetermined
NC(=O)C1(C(N)=O)O[C@H]1C(=O)c1ccccc1,
CCCCCn1cc2c3c(cccc31)[C@H]1C=C(C)CN(C)[C@@H]1C2,positive
Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,positive
O=CC(Cl)(Cl)Cl,positive
CCCCCC/C=C\CCCCCCOC(C)=O,
O=S(=O)(O)c1cccc2cc(O)ccc12,negative
CC1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,positive
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,negative
CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,negative
Nc1ccc2ncccc2c1,positive
OC(=S)c1ccccc1,positive
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,positive
COC(C)CCOC(C)=O,
O=C(O)C(O)C(O)C(O)C(O)CO,negative
CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1,positive
O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,undetermined
O=c1[nH]c(=O)[nH]c(=O)[nH]1,negative
O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1,negative
CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,negative
O=NN1CCC[C@H](O)C1,negative
O=C(CCl)c1ccc(Cl)cc1Cl,negative
O=[N+]([O-])c1ccc(CNc2[nH]cnc3ncnc2-3)cc1,negative
Nc1ccc2cccc3c2c1-c1ccccc1-3,positive
CC(=O)OCc1ccc(N=Nc2ccc(COC(C)=O)cc2)cc1,negative
CC(OP(=O)(OC(C)C(Br)CBr)OC(C)C(Br)CBr)C(Br)CBr,negative
O[C@@H]1C=Cc2ccc3c(ccc4ccccc43)c2[C@H]1O,negative
C1CC2OC2CC1COCC1CCC2OC2C1,negative
CC1(c2ccccc2)C(=O)c2ccccc2N1O,positive
c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,positive
COc1cc(OC)c2c(c1)OC1OC=CC21,positive
BrCC(Br)(Br)Br,negative
C[n+]1cccc2c1C=C[C@H]1O[C@@H]21,
CN=NNC,negative
Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12,negative
COC(=O)C1=C(C)N=C(C)C(=C(O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,positive
OC1C=Cc2c(ccc3c(Cl)c4ccccc4cc23)C1O,positive
O=c1c(=O)c2cc3ccccc3c3ccc4cccc1c4c23,undetermined
Cc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1,positive
CN(C)C(=S)N(C)C,negative
CCCCCCCCCCCCCCN(OC(C)=O)c1ccc2c(c1)Cc1ccccc1-2,negative
C=C=O,positive
[O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31,negative
C=Cc1ccccc1Cl,negative
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,
Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl,negative
NC(N)=S(=O)=O,positive
Fc1cnc2c(ccc3ncc(F)cc32)c1,positive
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,positive
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)O)cs2)cs1)[C@@H](C)O)[C@@H](O[C@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,negative
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,negative
O=C1C=CC(=O)c2c(O)c(Cl)c(Cl)c(O)c21,negative
CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCOCCO)CCC4(C)C3CCC12C,negative
CC(=O)Nc1ccc(Oc2ccc(N(O)C=O)cc2)cc1,
O=C(Nc1cccc(Br)c1)c1csc([N+](=O)[O-])c1,positive
Fc1cnc2ccccc2c1,
Cc1cccc(C(=O)O)c1[N+](=O)[O-],
O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,positive
CCOP(=S)(OCC)OP(=S)(OCC)OCC,positive
NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,negative
O[C@@H]1c2ccccc2-c2cc3c(ccc4ccccc43)nc2[C@H]1O,
CC(C)CN(CC(C)C)CC(C)C,negative
O=[N+]([O-])c1cc2c([nH]c3ccccc32)c([N+](=O)[O-])c1O,positive
BrCc1ccc(Br)cc1,negative
O=Cc1c(Cl)cccc1Cl,negative
CNc1nc2c3cccnc3ccc2n1C,positive
ClCC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl,
NCCN,positive
Nc1nc2c(s1)CCC1NCCCC21,positive
O=C(O)[C@@H](O)[C@H](O)C(=O)O,negative
O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,negative
c1ccc2[nH]c(-c3cscn3)nc2c1,undetermined
CCCCOc1ccc(CC(=O)NO)cc1,negative
O=[N+]([O-])c1nc2ccccc2[nH]1,negative
Cc1cccn2c1nc1ccc(N)nc12,negative
Nc1ccc(-c2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,positive
O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12,negative
NC(=O)c1cccc([N+](=O)[O-])c1,undetermined
Cc1ccc2oc(=O)ccc2c1,positive
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,
ONc1ccccc1,positive
O=[N+]([O-])c1ccc2[nH]c3c([N+](=O)[O-])c(O)c([N+](=O)[O-])cc3c2c1,negative
Cc1ccc(NO)cc1,positive
COc1ccccc1[N+](=O)[O-],positive
Oc1nncc2ccccc12,
Cc1cc(C)c(N)c(C)c1,
CC(C)(C)C1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C=C(C(C)(C)C)C1=O,positive
O=c1cc(-c2ccccc2)cc(-c2ccccc2)n1/N=C/c1ccc([N+](=O)[O-])o1,negative
CC1=C(O)C(=O)CO1,positive
CC[C@@H](Cl)[N+](=O)[O-],positive
COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N,positive
O=[N+]([O-])c1ccc(CNCCO)o1,positive
COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1,negative
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,positive
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,positive
COc1cc(CCC(C)=O)ccc1O,
CN[C@H](C)[C@@H](O)c1ccccc1,negative
NCCc1ccc(O)c(O)c1,negative
CCCC/C=C/C=O,negative
COC(=O)c1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@@H]1OC=C[C@@H]41,positive
CC1=CC(O)C2CC1C2(C)C,negative
ICCc1ccc(OCc2ccccc2)cc1,negative
CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1,
O=C1N[C@@H](c2ccc([N+](=O)[O-])s2)Nc2ccccc21,negative
C=CC(=O)N1CCN(c2ccccc2)CC1,negative
CC(=O)c1ccc([N+](=O)[O-])s1,undetermined
c1cnccn1,undetermined
CC1c2ccccc2-c2ccccc21,positive
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,positive
C=COC,positive
O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,negative
O=C(O)C(Cl)Cl,negative
O=C1c2ccccc2-c2cccc3cccc1c23,negative
CC(Br)C(Br)COP(=O)(OCC(Br)C(C)Br)OCC(Br)C(C)Br,positive
CCOCN(C(=O)CCl)c1c(C)cccc1CC,
O=[N+]([O-])c1ccccc1S(=O)(=O)O,negative
CCCCCCC(=O)OCC,positive
CC(C)(Cl)OC(C)(C)Cl,negative
CCOc1ccc(N=[N+]([O-])c2ccc(OCC)cc2)cc1,negative
Oc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1,negative
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21,negative
C=C(C)C(=O)OC[C@H]1CO1,positive
Cc1ccc2c(c1)C1C(=N2)N(C)c2ccccc2C1C,negative
CC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,negative
COC(=O)C(CSCC(Br)c1ccccc1)NC(C)=O,negative
Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,negative
CC(=O)Nc1ccc(C(=O)CCl)cc1,
O=C(CCl)NCO,negative
C[C@@H](Nc1[nH]cnc2nc(-c3ccc(CCl)cc3)cc1-2)c1ccccc1,
CC1C=C(C=O)C(C=O)=CC2(O)CC(C)(C)CC12,negative
COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,negative
c1ccc2c3c(ccc2c1)Cc1c(ccc2ccccc12)C3,negative
CC1=C2C(=CC(C)(CO)C2O)C(=O)C(C)(O)C12CC2,negative
OCCI,positive
C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)OC(C)=O)C3,positive
O=S(O)c1ccc(Cl)cc1,negative
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,
Oc1ccccc1-c1nc2ccccc2o1,
CC(C)CN(C(=O)CCCl)c1snc2ccccc12,
COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,undetermined
COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,positive
O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1O,negative
CCCCN(CCC(=O)O)N=O,
Clc1ccc2c(c1)oc1ccccc12,negative
COc1cc(OC)c(C2OC2C)cc1OC,positive
NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],
COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,negative
O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,positive
CCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,positive
O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(N=Nc5ccc(O)c(C(=O)O)c5)c5cc(S(=O)(=O)O)ccc45)cc3)cc2)ccc1O,negative
O=[N+]([O-])c1cc(NS(=O)(=O)c2cccc3cccnc23)ccc1Cl,positive
CC(=O)N(O)c1ccc([N+](=O)[O-])cc1,negative
CCCCCCCCCC(=O)O,negative
NC(CSC(F)(F)C(F)Cl)C(=O)O,negative
COc1c2ccoc2c(OC)c2oc(=O)ccc12,negative
CNC(=O)Oc1cccc2c1OC(C)(C)C2,
CC(C)(C)OC(=O)C(N)CN=[N+]=[N-],negative
CCCCOC(=O)COc1ccc(Cl)cc1Cl,positive
Nc1ccc(Cl)c(Cl)c1Cl,undetermined
Cc1cc2cccc3ccc4c5ccccc5cc1c4c32,positive
C=C/C=C\C,positive
Clc1cccc2cccnc12,negative
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,positive
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,negative
CCc1c(O)ccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,negative
CC(=O)[C@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,undetermined
Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-],undetermined
Cc1cc(N=Nc2ccc(S(=O)(=O)O)cc2)c(N)cc1N,positive
CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(S(=O)(=O)O)cc2)cc1,positive
Nc1cc2c3c(cccc3c1)-c1ccccc1-2,negative
Cc1cc2c(C)c3ccccc3nc2c2ccccc12,negative
O=C/C(Br)=C(\Br)C(=O)O,negative
O=C1CSC(=S)N1,negative
CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,negative
C=CCBr,negative
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,positive
O=[N+]([O-])c1ccc(-c2cscn2)o1,positive
N=C(N)NN=C(/C=C\c1ccc([N+](=O)[O-])o1)/C=C\c1ccc([N+](=O)[O-])o1,positive
O=S1OC[C@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,negative
Clc1ccc(Cl)c(Cl)c1,positive
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N2CCOC[C@H]2C#N)[C@H](O)[C@H](C)O1,positive
COc1cccc(CN(C)N=O)c1,negative
[C-]#[O+],positive
CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2n1,negative
Cc1cc(C)cc(N)c1,undetermined
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,
CC(=O)Oc1cccc2cccnc12,
Fc1cc(F)c2cccnc2c1,positive
C=C(C)C(=O)OCCCCCCCCCC,negative
CC(=O)C(=O)c1ccccc1,negative
Cc1ccc2cc3ccccc3c(C)c2c1,positive
Nc1ncnc2c1ncn2C1CC(O)C(CO)O1,undetermined
CC(C)S,negative
Clc1cccc2cc3ccccc3cc12,
c1ccc2c(c1)cc1sc3cccc4ccc2c1c43,negative
CC(=O)Nc1ccc2ccc3c(O)ccc4ccc1c2c43,negative
Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,positive
CC(=O)N(O)c1ccc(Cl)c(Cl)c1,positive
OCc1ccc2nc3c(ccc4ccccc43)c(CO)c2c1,undetermined
O=C(NCc1ccccc1)C(Cl)c1ccccc1,positive
C[C@@H](O)[C@@H](N)[C@H](O)[C@H](O)C=O,negative
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,
O=Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,positive
c1ccc(C2OC2c2ccccc2)cc1,positive
OCc1cc2cccc3ccc4cc5ccccc5c1c4c32,positive
OC1c2ccc3c4c(ccc3c2C2OC2C1O)CCC4,positive
Cc1nccc2c1[nH]c1ccccc12,negative
COC(=O)C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)C(C)N1N=O,negative
CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,positive
COc1ccc2c(CBr)cc(=O)oc2c1,undetermined
Nc1ccc2nc3cc(N)ccc3nc2c1,negative
CC(C)(C)c1c(N)ccc2c1Cc1ccccc1-2,negative
c1ccc2ccccc2c1,
COc1ccc(O)cc1,
CN1CCc2c1ccc1ccc3ccc(O)cc3c21,positive
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCC=C4,negative
C[C@@H](O)CNC[C@@H](C)O,positive
c1ccc2[nH]cnc2c1,positive
O=C(O)CCC(NC(=O)COc1cc(Cl)c(Cl)cc1Cl)C(=O)O,undetermined
COP(=O)(OC)SC,positive
CCc1ccnc2ccccc12,
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,positive
CCC[CH-][N+](=O)[O-],
Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,positive
CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,positive
Nc1ccc(/C=C/C(=O)O)cc1,
Fc1ccc(CCl)cc1,negative
Cc1ccc(C)c(C)c1,positive
CCOCC(=O)O,positive
ONc1ccc(Oc2ccccc2)cc1,negative
NC(Cc1ccccc1)C(=O)O,positive
Nc1ccc(-c2ccc(N)c(N)c2)cc1N,
Cc1cc2c(O)cccc2c2cc3ccccc3cc12,positive
COc1ccc(C(=O)N2CCN(c3ccc4c(c3)CCC(=O)N4)CC2)cc1OC,negative
CCCC(=O)OCC,positive
CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,positive
O=[N+]([O-])c1ccc2cccc3c2c1C=C3,undetermined
C=CC(=O)OCC(C)(C)COC(=O)C=C,
O=C1C=Cc2ccc3c(ccc4ccccc43)c2C1=O,
Cc1c(O)cccc1O,
Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,positive
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc(N=[N+]=[N-])ccc12,
C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@]3(C)[C@@H](O)[C@H]12,negative
Cc1ccc(S(=O)(=O)OC(C)C)cc1,negative
Nc1cccc2nc3cccc(N)c3nc12,negative
CN(C)CC[C@@H](c1ccccc1)c1ccccn1,positive
O=[N+]([O-])c1ccc(Cl)cc1,positive
CCc1cnccn1,positive
Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1,negative
O=C(O)/C(Cl)=C(/CCl)C(Cl)Cl,
Nc1ccc(C=O)cc1,undetermined
O=S(=O)(O)OCc1c2ccccc2cc2c1ccc1ccccc12,positive
O=C1c2c(O)ccc(Cl)c2C(=O)c2c(O)ccc(Cl)c21,negative
O=S(=O)(O)ONNCCc1ccccc1,negative
O=[N+]([O-])c1ccc(CO)c([N+](=O)[O-])c1,negative
CNc1ccc2ncc(C)nc2c1C,negative
CC(=O)Nc1cccc2ncccc12,negative
O=C(O)CC(O)C(=O)O,negative
Cc1ccc2nc3c4c(ccc3c(C)c2c1)C(O)C(O)C=C4,negative
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,
COc1cc2ccnc3c2c(c1OC)-c1ccccc1C3=O,positive
CCOc1cccc2cccnc12,negative
O=C(/C=C/c1ccccc1)c1ccccc1,positive
CCOC(=O)CCl,positive
C#CCOCC[n+]1ccccc1/C=N/O,undetermined
CC1=CC(=O)C=C(C)C1=O,positive
ClCCN(CCCl)CCCl,positive
O=[N+]([O-])c1ccc2[nH]c3ccccc3c2c1,negative
[N-]=[N+]=NCC(N)C(=O)O,positive
Cn1c(N)nc2cc(O)ccc21,undetermined
CS(=O)(=O)N1C2c3ccccc3-c3ccccc3C21,negative
O=[N+]([O-])c1cnc(CO)n1CCO,negative
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,negative
CCN=NC(C)(C)OO,undetermined
COC(C)=O,negative
ClCC(Cl)Cl,negative
CC1C=C(C=O)C(C=O)C(O)C2CC(C)(C)CC12,negative
CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,
CC(=O)NN,positive
Cc1ccc(N)cc1O,negative
CCCCOC(=O)c1cccc2cccnc12,positive
COc1ccc2c(c1)[nH]c1c(C)nccc12,negative
CC1=CC2(OC3OC(CO)C(O)C(O)C3O)CC(C)C(=O)C2C(C)(O)C12CC2,
O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2,negative
Cn1c([N+](=O)[O-])cnc1C(O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O,positive
CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2,
O=[N+]([O-])c1ccc2c[nH]nc2c1,positive
C=C(C)C(=O)OCCCCCOC(=O)C(=C)C,
Cc1cc(C)c2ccccc2c1,positive
CCCCCCCCCCCC[C@H]1CO1,positive
Cc1ccc(C(=O)n2ncc(Cl)c(Cl)c2=O)cc1,positive
OC1c2ccc3cc4c(ccc5ccccc54)nc3c2C2OC2C1O,positive
Cc1ccc(N)cc1N=Nc1cc(N)ccc1C,positive
O=C(O)c1ccc(Cl)c(Cl)c1,positive
Cc1ncc2c(n1)CCC2,positive
CCCCON(OC(C)=O)C(=O)c1ccc2ccccc2c1,negative
CN(C#N)N=O,undetermined
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,positive
c1ccc2occc2c1,undetermined
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,positive
C1N2CN3CN1CN(C2)C3,positive
C[N@+]1([O-])CCC[C@@H]1c1cccnc1,negative
